id	filename	md5	size	state
2f558b20-191a-4773-84f0-e8e61cef283b	3953b63a-1a63-4e97-b683-ae905b55e03e.rna_seq.augmented_star_gene_counts.tsv	3431db12b4ea6b6a2c6f0ea0d5b3b254	4272998	validated
ace8a378-348f-419f-be3f-3a8c4bf991d4	TCGA-LUAD.b4dd2dba-4c89-48e8-b74a-bb8d55e85b25.gene_level_copy_number.v36.tsv	761ce77fe558036b7e5fc8d9d5c34ae6	3455307	validated
e585878b-98af-4e3f-b03c-6b5a4e7a202c	45310b76-8ea1-4d13-9d9f-1f1d874e0285.rna_seq.augmented_star_gene_counts.tsv	09a0a192d9a96a3b004cb9d1c05aefb9	4261858	validated
ade144ee-65a7-4363-b9a1-d14aab563153	TCGA-LUAD.97fa959e-4845-4082-844a-2c1ce98cba1a.gene_level_copy_number.v36.tsv	71bb72779cabd03e5e920ddc502a7702	3447227	validated
ae4238d0-6add-4c4b-8f08-ce9506d6e520	TCGA-LUAD.1e24a19f-2db3-47c3-8482-d702a6f8457b.gene_level_copy_number.v36.tsv	bb1e49584499edc2cb51894b582f51f5	3448059	validated
afe4de41-4b43-4246-b66a-27eca43ac2f7	TCGA-LUAD.109dcb62-b398-438a-b6c9-6472a2889a00.gene_level_copy_number.v36.tsv	571d33ba6bea6529dbbacc8b0503b183	3446969	validated
334cc9fa-3e9b-4462-b84d-dc595e89d537	49acc5ad-6a61-41e1-9acb-4260e932a184.rna_seq.augmented_star_gene_counts.tsv	3f0751b58efdb8a96a158b5d8ae5b61a	4242279	validated
b0d4c041-597e-4e5e-8c68-89e48b7a1d41	TCGA-LUAD.1d98f8a3-ebe4-4a09-b8a4-48ec1cdcfd2e.gene_level_copy_number.v36.tsv	a81a1e364c696cb5bc105450bad39ad7	3447070	validated
b1060112-48fb-4c0d-a941-e43d58acc73e	8ed26846-12d6-462d-be1a-521ef4bf2c81.rna_seq.augmented_star_gene_counts.tsv	bb6ea7a80ac948c425b53b24aca06327	4238641	validated
b1995c6f-70fd-4267-9aff-39016b0cb822	TCGA-LUAD.f19cbb8f-838e-4218-9cd8-7f77db8c6fb3.gene_level_copy_number.v36.tsv	9a30c7444d61d7c44f765c7771986f80	3447876	validated
b1da8de3-1e43-4211-a3c6-566efa987729	TCGA-LUAD.f4434eb0-fb54-4890-8e6d-741ec9914be5.gene_level_copy_number.v36.tsv	00c34f67c7661725bb6548ea65dc8f5f	3447098	validated
361e4878-4535-499d-9987-7295a078bbee	ab0a7727-00ee-40fa-b5f5-a69234473e4a.rna_seq.augmented_star_gene_counts.tsv	fd1f51878ed84fdfd1735a05eaab6169	4229669	validated
ebeb34e9-ee4b-4131-b394-3989e7ea0ba1	TCGA-LUAD.9e70767e-b792-4da7-9691-961fa57343b0.gene_level_copy_number.v36.tsv	7d5ebb7e8c714d45ea11ffb0909fda02	3446828	validated
4bd86df0-6768-4741-8d01-51fe34dd57fd	bd1e3dcd-31c4-4f7f-8e99-9ad0d1050294.rna_seq.augmented_star_gene_counts.tsv	1e91674789dcd6a6bcc97d8171893ad9	4253061	validated
b8394ae2-7135-4a1d-a1db-4fe72d514a1f	TCGA-LUSC.b2e54c4e-30f9-40d6-9b42-41d82ad29177.gene_level_copy_number.v36.tsv	917ef28b0401e154ddae3567a310ebac	3446859	validated
b5465f76-ca5b-4969-8c72-92b5a0eee2c5	TCGA-LUSC.cdae666f-4f66-40a4-b294-521e4ccd9d87.gene_level_copy_number.v36.tsv	a8248a518eab806ec011005b80e8e003	3446732	validated
cd1b5e8d-d394-405a-911b-287911b16758	TCGA-LUAD.f8795f71-9e73-4213-af65-c7aba3fc77ec.gene_level_copy_number.v36.tsv	124d06a9e1e13e0388fbc5236e10ebe0	3446948	validated
